gandasaro gandasu(N26MASC)+aru_u_NOM+ro_ru_INDF
gandasaro gandasu(N26MASC)+aru_u_NOM+ro_ru_PRES
gandasare gandasu(N26MASC)+aru_u_NOM+re_ru_IMPH
gandasare gandasu(N26MASC)+aru_u_NOM+re_ru_DECL
gandasare gandasu(N26MASC)+aru_u_NOM+re_ru_RIS
gandasarannA gandasu(N26MASC)+aru_u_ACC+rannA_ru_INTR
gandasarannU gandasu(N26MASC)+aru_u_ACC+rannU_ru_INCL
gandasaranno gandasu(N26MASC)+aru_u_ACC+ranno_ru_DUB
gandasaranno gandasu(N26MASC)+aru_u_ACC+ranno_ru_INDF
gandasaranno gandasu(N26MASC)+aru_u_ACC+ranno_ru_PRES
gandasaranne gandasu(N26MASC)+aru_u_ACC+ranne_ru_IMPH
gandasaranne gandasu(N26MASC)+aru_u_ACC+ranne_ru_DECL
gandasaranne gandasu(N26MASC)+aru_u_ACC+ranne_ru_RIS
gandasariMxalA gandasu(N26MASC)+aru_u_INS+riMxalA_ru_INTR
gandasariMxalU gandasu(N26MASC)+aru_u_INS+riMxalU_ru_INCL
gandasariMxalo gandasu(N26MASC)+aru_u_INS+riMxalo_ru_DUB
gandasariMxalo gandasu(N26MASC)+aru_u_INS+riMxalo_ru_INDF
gandasariMxalo gandasu(N26MASC)+aru_u_INS+riMxalo_ru_PRES
gandasariMxale gandasu(N26MASC)+aru_u_INS+riMxale_ru_IMPH
gandasariMxale gandasu(N26MASC)+aru_u_INS+riMxale_ru_DECL
gandasariMxale gandasu(N26MASC)+aru_u_INS+riMxale_ru_RIS
gandasarigA gandasu(N26MASC)+aru_u_DAT+rigA_ru_INTR
gandasarigU gandasu(N26MASC)+aru_u_DAT+rigU_ru_INCL
gandasarigo gandasu(N26MASC)+aru_u_DAT+rigo_ru_DUB
gandasarigo gandasu(N26MASC)+aru_u_DAT+rigo_ru_INDF
gandasarigo gandasu(N26MASC)+aru_u_DAT+rigo_ru_PRES
gandasarige gandasu(N26MASC)+aru_u_DAT+rige_ru_IMPH
gandasarige gandasu(N26MASC)+aru_u_DAT+rige_ru_DECL
gandasarige gandasu(N26MASC)+aru_u_DAT+rige_ru_RIS
gandasariMxalA gandasu(N26MASC)+aru_u_ABL+riMxalA_ru_INTR
gandasariMxalU gandasu(N26MASC)+aru_u_ABL+riMxalU_ru_INCL
gandasariMxalo gandasu(N26MASC)+aru_u_ABL+riMxalo_ru_DUB
gandasariMxalo gandasu(N26MASC)+aru_u_ABL+riMxalo_ru_INDF
gandasariMxalo gandasu(N26MASC)+aru_u_ABL+riMxalo_ru_PRES
gandasariMxale gandasu(N26MASC)+aru_u_ABL+riMxale_ru_IMPH
gandasariMxale gandasu(N26MASC)+aru_u_ABL+riMxale_ru_DECL
gandasariMxale gandasu(N26MASC)+aru_u_ABL+riMxale_ru_RIS
gandasarallA gandasu(N26MASC)+aru_u_LOC+rallA_ru_INTR
gandasarallU gandasu(N26MASC)+aru_u_LOC+rallU_ru_INCL
gandasarallo gandasu(N26MASC)+aru_u_LOC+rallo_ru_DUB
gandasarallo gandasu(N26MASC)+aru_u_LOC+rallo_ru_INDF
gandasarallo gandasu(N26MASC)+aru_u_LOC+rallo_ru_PRES
gandasaralle gandasu(N26MASC)+aru_u_LOC+ralle_ru_IMPH
