jAxUvinalliyA jAxU(N31NEUT)+vinalli_#_LOC+yA_#_INTR
jAxUvinalliyU jAxU(N31NEUT)+vinalli_#_LOC+yU_#_INCL
jAxUvinalliyo jAxU(N31NEUT)+vinalli_#_LOC+yo_#_DUB
jAxUvinalliyo jAxU(N31NEUT)+vinalli_#_LOC+yo_#_INDF
jAxUvinalliyo jAxU(N31NEUT)+vinalli_#_LOC+yo_#_PRES
jAxUvinalliye jAxU(N31NEUT)+vinalli_#_LOC+ye_#_IMPH
jAxUvinalliye jAxU(N31NEUT)+vinalli_#_LOC+ye_#_DECL
jAxUvinalliye jAxU(N31NEUT)+vinalli_#_LOC+ye_#_RIS
jAxUgalYA jAxU(N31NEUT)+galYu_#_NOM+lYA_lYu_INTR
jAxUgalYU jAxU(N31NEUT)+galYu_#_NOM+lYU_lYu_INCL
jAxUgalYo jAxU(N31NEUT)+galYu_#_NOM+lYo_lYu_DUB
jAxUgalYo jAxU(N31NEUT)+galYu_#_NOM+lYo_lYu_INDF
jAxUgalYo jAxU(N31NEUT)+galYu_#_NOM+lYo_lYu_PRES
jAxUgalYe jAxU(N31NEUT)+galYu_#_NOM+lYe_lYu_IMPH
jAxUgalYe jAxU(N31NEUT)+galYu_#_NOM+lYe_lYu_DECL
jAxUgalYe jAxU(N31NEUT)+galYu_#_NOM+lYe_lYu_RIS
jAxUgalYannA jAxU(N31NEUT)+galYu_#_ACC+lYannA_lYu_INTR
jAxUgalYannU jAxU(N31NEUT)+galYu_#_ACC+lYannU_lYu_INCL
jAxUgalYanno jAxU(N31NEUT)+galYu_#_ACC+lYanno_lYu_DUB
jAxUgalYanno jAxU(N31NEUT)+galYu_#_ACC+lYanno_lYu_INDF
jAxUgalYanno jAxU(N31NEUT)+galYu_#_ACC+lYanno_lYu_PRES
jAxUgalYanne jAxU(N31NEUT)+galYu_#_ACC+lYanne_lYu_IMPH
jAxUgalYanne jAxU(N31NEUT)+galYu_#_ACC+lYanne_lYu_DECL
jAxUgalYanne jAxU(N31NEUT)+galYu_#_ACC+lYanne_lYu_RIS
jAxUgalYiMxalA jAxU(N31NEUT)+galYu_#_INS+lYiMxalA_lYu_INTR
jAxUgalYiMxalU jAxU(N31NEUT)+galYu_#_INS+lYiMxalU_lYu_INCL
jAxUgalYiMxalo jAxU(N31NEUT)+galYu_#_INS+lYiMxalo_lYu_DUB
jAxUgalYiMxalo jAxU(N31NEUT)+galYu_#_INS+lYiMxalo_lYu_INDF
jAxUgalYiMxalo jAxU(N31NEUT)+galYu_#_INS+lYiMxalo_lYu_PRES
jAxUgalYiMxale jAxU(N31NEUT)+galYu_#_INS+lYiMxale_lYu_IMPH
jAxUgalYiMxale jAxU(N31NEUT)+galYu_#_INS+lYiMxale_lYu_DECL
jAxUgalYiMxale jAxU(N31NEUT)+galYu_#_INS+lYiMxale_lYu_RIS
jAxUgalYigA jAxU(N31NEUT)+galYu_#_DAT+lYigA_lYu_INTR
jAxUgalYigU jAxU(N31NEUT)+galYu_#_DAT+lYigU_lYu_INCL
jAxUgalYigo jAxU(N31NEUT)+galYu_#_DAT+lYigo_lYu_DUB
jAxUgalYigo jAxU(N31NEUT)+galYu_#_DAT+lYigo_lYu_INDF
jAxUgalYigo jAxU(N31NEUT)+galYu_#_DAT+lYigo_lYu_PRES
jAxUgalYige jAxU(N31NEUT)+galYu_#_DAT+lYige_lYu_IMPH
jAxUgalYige jAxU(N31NEUT)+galYu_#_DAT+lYige_lYu_DECL
jAxUgalYige jAxU(N31NEUT)+galYu_#_DAT+lYige_lYu_RIS
jAxUgalYiMxalA jAxU(N31NEUT)+galYu_#_ABL+lYiMxalA_lYu_INTR
jAxUgalYiMxalU jAxU(N31NEUT)+galYu_#_ABL+lYiMxalU_lYu_INCL
jAxUgalYiMxalo jAxU(N31NEUT)+galYu_#_ABL+lYiMxalo_lYu_DUB
jAxUgalYiMxalo jAxU(N31NEUT)+galYu_#_ABL+lYiMxalo_lYu_INDF
jAxUgalYiMxalo jAxU(N31NEUT)+galYu_#_ABL+lYiMxalo_lYu_PRES
jAxUgalYiMxale jAxU(N31NEUT)+galYu_#_ABL+lYiMxale_lYu_IMPH
jAxUgalYiMxale jAxU(N31NEUT)+galYu_#_ABL+lYiMxale_lYu_DECL
jAxUgalYiMxale jAxU(N31NEUT)+galYu_#_ABL+lYiMxale_lYu_RIS
jAxUgalYallA jAxU(N31NEUT)+galYu_#_LOC+lYallA_lYu_INTR
jAxUgalYallU jAxU(N31NEUT)+galYu_#_LOC+lYallU_lYu_INCL
jAxUgalYallo jAxU(N31NEUT)+galYu_#_LOC+lYallo_lYu_DUB
jAxUgalYallo jAxU(N31NEUT)+galYu_#_LOC+lYallo_lYu_INDF
jAxUgalYallo jAxU(N31NEUT)+galYu_#_LOC+lYallo_lYu_PRES
jAxUgalYalle jAxU(N31NEUT)+galYu_#_LOC+lYalle_lYu_IMPH
jAxUgalYalle jAxU(N31NEUT)+galYu_#_LOC+lYalle_lYu_DECL
jAxUgalYalle jAxU(N31NEUT)+galYu_#_LOC+lYalle_lYu_RIS
jAxUvigoskaravA jAxU(N31NEUT)+vigoskara_#_BEN+vA_#_INTR
jAxUvigoskaravU jAxU(N31NEUT)+vigoskara_#_BEN+vU_#_INCL
jAxUvigoskaravo jAxU(N31NEUT)+vigoskara_#_BEN+vo_#_DUB
jAxUvigoskaravo jAxU(N31NEUT)+vigoskara_#_BEN+vo_#_INDF
jAxUvigoskaravo jAxU(N31NEUT)+vigoskara_#_BEN+vo_#_PRES
jAxUvigoskarave jAxU(N31NEUT)+vigoskara_#_BEN+ve_#_IMPH
jAxUvigoskarave jAxU(N31NEUT)+vigoskara_#_BEN+ve_#_DECL
jAxUvigoskarave jAxU(N31NEUT)+vigoskara_#_BEN+ve_#_RIS
jAxUvigoskaravA jAxU(N31NEUT)+vigoskara_#_PUR+vA_#_INTR
jAxUvigoskaravU jAxU(N31NEUT)+vigoskara_#_PUR+vU_#_INCL
