kaxiyaballalYu kaxi(V36)+kaxiya_kaxi_AVY+balla_#_FUTCAP+alYu_a_3SF
kaxiyaballaxu kaxi(V36)+kaxiya_kaxi_AVY+balla_#_FUTCAP+axu_a_3SN
kaxiyaballaru kaxi(V36)+kaxiya_kaxi_AVY+balla_#_FUTCAP+aru_a_3P
kaxiyaballaru kaxi(V36)+kaxiya_kaxi_AVY+balla_#_FUTCAP+aru_a_3SH
kaxiyaballavu kaxi(V36)+kaxiya_kaxi_AVY+balla_#_FUTCAP+avu_a_3PN
kaxxAnu kaxi(V36)+kaxxa_kaxi_FUTDUB+Anu_a_3SM
kaxxAlYu kaxi(V36)+kaxxa_kaxi_FUTDUB+AlYu_a_3SF
kaxxAru kaxi(V36)+kaxxa_kaxi_FUTDUB+Aru_a_3P
kaxxAru kaxi(V36)+kaxxa_kaxi_FUTDUB+Aru_a_3SH
kaxxIwu kaxi(V36)+kaxxa_kaxi_FUTDUB+Iwu_a_3SN
kaxxAvu kaxi(V36)+kaxxa_kaxi_FUTDUB+Avu_a_3PN
kaxxenu kaxi(V36)+kaxxa_kaxi_FUTDUB+enu_a_1S
kaxxevu kaxi(V36)+kaxxa_kaxi_FUTDUB+evu_a_1P
kaxxIyeV kaxi(V36)+kaxxa_kaxi_FUTDUB+IyeV_a_2S
kaxxIri kaxi(V36)+kaxxa_kaxi_FUTDUB+Iri_a_2P
kaxxIri kaxi(V36)+kaxxa_kaxi_FUTDUB+Iri_a_2SH
kaxxareV kaxi(V36)+kaxxa_kaxi_NFV+areV_a_COND
kaxxalli kaxi(V36)+kaxxa_kaxi_NFV+alli_a_COND
kaxiyuvuxilla kaxi(V36)+kaxiyuvuxu_kaxi_AVY+illa_u_NEG
kaxiyabahuxu kaxi(V36)+xiya_xi_AVY+bahuxu_#_FUTPOTEN
kaxiyalebeku kaxi(V36)+xiyalu_xi_COMP+e_u_AVY+beku_#_FUT
kaxiyuvavanu kaxi(V36)+xiyuva_xi_PRP+avanu_a_3SM
kaxiyuvavalYu kaxi(V36)+xiyuva_xi_PRP+avalYu_a_3FM
kaxiyuvavaru kaxi(V36)+xiyuva_xi_PRP+avaru_a_3P
kaxiyaxavanu kaxi(V36)+xiyaxa_xi_PRP+xavanu_xa_3SM
kaxiyaxavalYu kaxi(V36)+xiyaxa_xi_PRP+xavalYu_xa_3FM
kaxiyaxavaru kaxi(V36)+xiyaxa_xi_PRP+xavaru_xa_3P
kaxxavanu kaxi(V36)+kaxxa_kaxi_PRP+avanu_a_3SM 
kaxxavalYu kaxi(V36)+kaxxa_kaxi_PRP+avalYu_a_3FM 
kaxxavaru kaxi(V36)+kaxxa_kaxi_PRP+avaru_a_3P 
kaxiyalAraxavanu kaxi(V36)+xiyalu_xi_AVY+Araxa_u_PRP+avanu_a_3SM 
kaxiyalAraxavalYu kaxi(V36)+xiyalu_xi_AVY+Araxa_u_PRP+avalYu_a_3SF
kaxiyalAraxavaru kaxi(V36)+xiyalu_xi_AVY+Araxa_u_PRP+avaru_a_3P 
kaxiyuwwiruvavanu kaxi(V36)+kaxiyuwwa_kaxi_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM 
kaxiyuwwiruvavalYu kaxi(V36)+kaxiyuwwa_kaxi_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3FM
