kaxiyaballanu kalYu(V10)+kaxiya_kalYu_AVY+balla_#_FUTCAP+anu_a_3SM
kaxiyaballalYu kalYu(V10)+kaxiya_kalYu_AVY+balla_#_FUTCAP+alYu_a_3SF
kaxiyaballaxu kalYu(V10)+kaxiya_kalYu_AVY+balla_#_FUTCAP+axu_a_3SN
kaxiyaballaru kalYu(V10)+kaxiya_kalYu_AVY+balla_#_FUTCAP+aru_a_3P
kaxiyaballaru kalYu(V10)+kaxiya_kalYu_AVY+balla_#_FUTCAP+aru_a_3SH
kaxiyaballavu kalYu(V10)+kaxiya_kalYu_AVY+balla_#_FUTCAP+avu_a_3PN
kaxxAnu kalYu(V10)+kaxxa_kalYu_FUTDUB+Anu_a_3SM
kaxxAlYu kalYu(V10)+kaxxa_kalYu_FUTDUB+AlYu_a_3SF
kaxxAru kalYu(V10)+kaxxa_kalYu_FUTDUB+Aru_a_3P
kaxxAru kalYu(V10)+kaxxa_kalYu_FUTDUB+Aru_a_3SH
kaxxIwu kalYu(V10)+kaxxa_kalYu_FUTDUB+Iwu_a_3SN
kaxxAvu kalYu(V10)+kaxxa_kalYu_FUTDUB+Avu_a_3PN
kaxxenu kalYu(V10)+kaxxa_kalYu_FUTDUB+enu_a_1S
kaxxevu kalYu(V10)+kaxxa_kalYu_FUTDUB+evu_a_1P
kaxxIyeV kalYu(V10)+kaxxa_kalYu_FUTDUB+IyeV_a_2S
kaxxIri kalYu(V10)+kaxxa_kalYu_FUTDUB+Iri_a_2P
kaxxIri kalYu(V10)+kaxxa_kalYu_FUTDUB+Iri_a_2SH
kaxxareV kalYu(V10)+kaxxa_kalYu_NFV+areV_a_COND
kaxxalli kalYu(V10)+kaxxa_kalYu_NFV+alli_a_COND
kaxiyuvuxilla kalYu(V10)+kaxiyuvuxu_kalYu_AVY+illa_u_NEG
kaxiyabahuxu kalYu(V10)+xiya_lYu_AVY+bahuxu_#_FUTPOTEN
kaxiyalebeku kalYu(V10)+xiyalu_lYu_COMP+e_u_AVY+beku_#_FUT
kaxiyuvavanu kalYu(V10)+xiyuva_lYu_PRP+avanu_a_3SM
kaxiyuvavalYu kalYu(V10)+xiyuva_lYu_PRP+avalYu_a_3FM
kaxiyuvavaru kalYu(V10)+xiyuva_lYu_PRP+avaru_a_3P
kaxiyaxavanu kalYu(V10)+xiyaxa_lYu_PRP+xavanu_xa_3SM
kaxiyaxavalYu kalYu(V10)+xiyaxa_lYu_PRP+xavalYu_xa_3FM
kaxiyaxavaru kalYu(V10)+xiyaxa_lYu_PRP+xavaru_xa_3P
kaxxavanu kalYu(V10)+kaxxa_kalYu_PRP+avanu_a_3SM 
kaxxavalYu kalYu(V10)+kaxxa_kalYu_PRP+avalYu_a_3FM 
kaxxavaru kalYu(V10)+kaxxa_kalYu_PRP+avaru_a_3P 
kaxiyalAraxavanu kalYu(V10)+xiyalu_lYu_AVY+Araxa_u_PRP+avanu_a_3SM 
kaxiyalAraxavalYu kalYu(V10)+xiyalu_lYu_AVY+Araxa_u_PRP+avalYu_a_3SF
kaxiyalAraxavaru kalYu(V10)+xiyalu_lYu_AVY+Araxa_u_PRP+avaru_a_3P 
kaxiyuwwiruvavanu kalYu(V10)+kaxiyuwwa_kalYu_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM 
kaxiyuwwiruvavalYu kalYu(V10)+kaxiyuwwa_kalYu_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3FM
kaxiyuwwiruvavaru kalYu(V10)+kaxiyuwwa_kalYu_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P
kaxiyuwwiruvuxu kalYu(V10)+kaxiyuwwa_kalYu_AUX+wwiru_wwa_RP+va_#_PRP+uxu_a_3SN
kaxiyuwwiruvuvu kalYu(V10)+kaxiyuwwa_kalYu_AUX+wwiru_wwa_RP+va_#_PRP+uvu_a_3PN
kaxiyuwwiruva kalYu(V10)+kaxiyuwwa_kalYu_AUX+wwiru_wwa_RP+va_#_FUTPROG
kaxiyuwwixxavanu kalYu(V10)+kaxiyuwwa_kalYu_AUX+wwiru_wwa_RP+xxa_ru_PRP+avanu_a_3SM 
kaxiyuwwixxavalYu kalYu(V10)+kaxiyuwwa_kalYu_AUX+wwiru_wwa_RP+xxa_ru_PRP+avalYu_a_3FM 
kaxiyuwwixxavaru kalYu(V10)+kaxiyuwwa_kalYu_AUX+wwiru_wwa_RP+xxa_ru_PRP+avaru_a_3P 
kaxiyuwwiruva kalYu(V10)+kaxiyuwwa_kalYu_AUX+wwiruva_wwa_PRESPROG
kaxiyuwwixxavu kalYu(V10)+kaxiyuwwa_kalYu_AUX+wwiru_wwa_RP+xxa_ru_PRP+avu_a_3PN
kaxiyaliruvavanu kalYu(V10)+xiyalu_lYu_AUX+liru_lu_RP+va_#_PRP+avanu_a_3SM
kaxiyaliruvavalYu kalYu(V10)+xiyalu_lYu_AUX+liru_lu_RP+va_#_PRP+avalYu_a_3FM
kaxiyaliruvavaru kalYu(V10)+xiyalu_lYu_AUX+liru_lu_RP+va_#_PRP+avaru_a_3P
kaxiyaliruvanu kalYu(V10)+xiyalu_lYu_AUX+liruvanu_lu_3SM
kaxiyaliruvalYu kalYu(V10)+xiyalu_lYu_AUX+liruvalYu_lu_3SF
kaxiyaliruvaru kalYu(V10)+xiyalu_lYu_AUX+liruvaru_lu_3P
kaxiyaliruvaxu kalYu(V10)+xiyalu_lYu_AUX+liruvaxu_lu_3SN
kaxiyaliruvavu kalYu(V10)+xiyalu_lYu_AUX+liruvavu_lu_3PN
kaxiyaballavanu kalYu(V10)+xiya_lYu_AVY+ballavanu_#_3SM
kaxiyaballavalYu kalYu(V10)+xiya_lYu_#_AVY+ballavalYu_#_3SF
kaxiyaballavaru kalYu(V10)+xiya_lYu_AVY+ballavaru_#_3P
kaxiyaballaxu kalYu(V10)+xiya_lYu_AVY+ballaxu_#_3SN
kaxiyaballavu kalYu(V10)+xiya_lYu_AVY+ballavu_#_3PN
kaxiyuwwixxaneV kalYu(V10)+kaxiyuwwa_kalYu_AUX+wwixxaneV_wwa_3SM
kaxiyuwwixxalYeV kalYu(V10)+kaxiyuwwa_kalYu_AUX+wwixxalYeV_wwa_3FM
