ajjanalliyo ajja(N23MASC)+nalli_#_LOC+yo_#_PRES
ajjanalliye ajja(N23MASC)+nalli_#_LOC+ye_#_IMPH
ajjanalliye ajja(N23MASC)+nalli_#_LOC+ye_#_DECL
ajjanalliye ajja(N23MASC)+nalli_#_LOC+ye_#_RIS
ajjaMxirA ajja(N23MASC)+aMxiru_#_NOM+rA_aMxiru_INTR
ajjaMxiru ajja(N23MASC)+aMxiru_#_NOM+rU_aMxiru_INCL
ajjaMxiro ajja(N23MASC)+aMxiru_#_NOM+ro_aMxiru_DUB
ajjaMxiro ajja(N23MASC)+aMxiru_#_NOM+ro_aMxiru_INDF
ajjaMxiro ajja(N23MASC)+aMxiru_#_NOM+ro_aMxiru_PRES
ajjaMxire ajja(N23MASC)+aMxiru_#_NOM+re_aMxiru_IMPH
ajjaMxire ajja(N23MASC)+aMxiru_#_NOM+re_aMxiru_DECL
ajjaMxire ajja(N23MASC)+aMxiru_#_NOM+re_aMxiru_RIS
ajjaMxirannA ajja(N23MASC)+aMxiru_#_ACC+rannA_aMxiru_INTR
ajjaMxirannU ajja(N23MASC)+aMxiru_#_ACC+rannU_aMxiru_INCL
ajjaMxiranno ajja(N23MASC)+aMxiru_#_ACC+ranno_aMxiru_DUB
ajjaMxiranno ajja(N23MASC)+aMxiru_#_ACC+ranno_aMxiru_INDF
ajjaMxiranno ajja(N23MASC)+aMxiru_#_ACC+ranno_aMxiru_PRES
ajjaMxiranne ajja(N23MASC)+aMxiru_#_ACC+ranne_aMxiru_IMPH
ajjaMxiranne ajja(N23MASC)+aMxiru_#_ACC+ranne_aMxiru_DECL
ajjaMxiranne ajja(N23MASC)+aMxiru_#_ACC+ranne_aMxiru_RIS
ajjaMxiriMxalA ajja(N23MASC)+aMxiru_#_INS+riMxalA_aMxiru_INTR
ajjaMxiriMxalU ajja(N23MASC)+aMxiru_#_INS+riMxalU_aMxiru_INCL
ajjaMxiriMxalo ajja(N23MASC)+aMxiru_#_INS+riMxalo_aMxiru_DUB
ajjaMxiriMxalo ajja(N23MASC)+aMxiru_#_INS+riMxalo_aMxiru_INDF
ajjaMxiriMxalo ajja(N23MASC)+aMxiru_#_INS+riMxalo_aMxiru_PRES
ajjaMxiriMxale ajja(N23MASC)+aMxiru_#_INS+riMxale_aMxiru_IMPH
