dipovinalliyo dipo(N33NEUT)+vinalli_#_LOC+yo_#_PRES
dipovinalliye dipo(N33NEUT)+vinalli_#_LOC+ye_#_IMPH
dipovinalliye dipo(N33NEUT)+vinalli_#_LOC+ye_#_DECL
dipovinalliye dipo(N33NEUT)+vinalli_#_LOC+ye_#_RIS
dipogalYA dipo(N33NEUT)+galYu_#_NOM+lYA_lYu_INTR
dipogalYU dipo(N33NEUT)+galYu_#_NOM+lYU_lYu_INCL
dipogalYo dipo(N33NEUT)+galYu_#_NOM+lYo_lYu_DUB
dipogalYo dipo(N33NEUT)+galYu_#_NOM+lYo_lYu_INDF
dipogalYo dipo(N33NEUT)+galYu_#_NOM+lYo_lYu_PRES
dipogalYe dipo(N33NEUT)+galYu_#_NOM+lYe_lYu_IMPH
dipogalYe dipo(N33NEUT)+galYu_#_NOM+lYe_lYu_DECL
dipogalYe dipo(N33NEUT)+galYu_#_NOM+lYe_lYu_RIS
dipogalYannA dipo(N33NEUT)+galYu_#_ACC+lYannA_lYu_INTR
dipogalYannU dipo(N33NEUT)+galYu_#_ACC+lYannU_lYu_INCL
dipogalYanno dipo(N33NEUT)+galYu_#_ACC+lYanno_lYu_DUB
dipogalYanno dipo(N33NEUT)+galYu_#_ACC+lYanno_lYu_INDF
dipogalYanno dipo(N33NEUT)+galYu_#_ACC+lYanno_lYu_PRES
dipogalYanne dipo(N33NEUT)+galYu_#_ACC+lYanne_lYu_IMPH
dipogalYanne dipo(N33NEUT)+galYu_#_ACC+lYanne_lYu_DECL
dipogalYanne dipo(N33NEUT)+galYu_#_ACC+lYanne_lYu_RIS
dipogalYiMxalA dipo(N33NEUT)+galYu_#_INS+lYiMxalA_lYu_INTR
dipogalYiMxalU dipo(N33NEUT)+galYu_#_INS+lYiMxalU_lYu_INCL
dipogalYiMxalo dipo(N33NEUT)+galYu_#_INS+lYiMxalo_lYu_DUB
dipogalYiMxalo dipo(N33NEUT)+galYu_#_INS+lYiMxalo_lYu_INDF
dipogalYiMxalo dipo(N33NEUT)+galYu_#_INS+lYiMxalo_lYu_PRES
dipogalYiMxale dipo(N33NEUT)+galYu_#_INS+lYiMxale_lYu_IMPH
dipogalYiMxale dipo(N33NEUT)+galYu_#_INS+lYiMxale_lYu_DECL
dipogalYiMxale dipo(N33NEUT)+galYu_#_INS+lYiMxale_lYu_RIS
dipogalYigA dipo(N33NEUT)+galYu_#_DAT+lYigA_lYu_INTR
dipogalYigU dipo(N33NEUT)+galYu_#_DAT+lYigU_lYu_INCL
dipogalYigo dipo(N33NEUT)+galYu_#_DAT+lYigo_lYu_DUB
dipogalYigo dipo(N33NEUT)+galYu_#_DAT+lYigo_lYu_INDF
dipogalYigo dipo(N33NEUT)+galYu_#_DAT+lYigo_lYu_PRES
dipogalYige dipo(N33NEUT)+galYu_#_DAT+lYige_lYu_IMPH
dipogalYige dipo(N33NEUT)+galYu_#_DAT+lYige_lYu_DECL
dipogalYige dipo(N33NEUT)+galYu_#_DAT+lYige_lYu_RIS
dipogalYiMxalA dipo(N33NEUT)+galYu_#_ABL+lYiMxalA_lYu_INTR
dipogalYiMxalU dipo(N33NEUT)+galYu_#_ABL+lYiMxalU_lYu_INCL
dipogalYiMxalo dipo(N33NEUT)+galYu_#_ABL+lYiMxalo_lYu_DUB
dipogalYiMxalo dipo(N33NEUT)+galYu_#_ABL+lYiMxalo_lYu_INDF
dipogalYiMxalo dipo(N33NEUT)+galYu_#_ABL+lYiMxalo_lYu_PRES
dipogalYiMxale dipo(N33NEUT)+galYu_#_ABL+lYiMxale_lYu_IMPH
dipogalYiMxale dipo(N33NEUT)+galYu_#_ABL+lYiMxale_lYu_DECL
dipogalYiMxale dipo(N33NEUT)+galYu_#_ABL+lYiMxale_lYu_RIS
dipogalYallA dipo(N33NEUT)+galYu_#_LOC+lYallA_lYu_INTR
dipogalYallU dipo(N33NEUT)+galYu_#_LOC+lYallU_lYu_INCL
dipogalYallo dipo(N33NEUT)+galYu_#_LOC+lYallo_lYu_DUB
